бренд;товар;файл;размер_px;страница_товара;источник_изображения;примечание
FERTIKA;Листовое Старт 13-40-13;FERTIKA/FERTIKA — Листовое Старт 13-40-13 — упаковка.jpg;2000×2000;https://fertika.com/product/selskoe-khozyaystvo/fertika-listovoe-3-40-13/;https://fertika.com/upload/iblock/f69/ehjqcjo08q1n0eiarlaoq4qx1ga9jey8/Fertika_orange_leaf_power0000.png;
FERTIKA;Листовое 18-18-18;FERTIKA/FERTIKA — Листовое 18-18-18 — упаковка.jpg;2000×2000;https://fertika.com/product/selskoe-khozyaystvo/fertika-listovoe-18-18-18/;https://fertika.com/upload/iblock/42a/oqe613o14s52sw6bcdm6xnikuzzqxelj/Fertika_green_leaf_power0000.png;
FERTIKA;Листовое 10-5-40;FERTIKA/FERTIKA — Листовое 10-5-40 — упаковка.jpg;2000×2000;https://fertika.com/product/selskoe-khozyaystvo/fertika-listovoe-10-5-40/;https://fertika.com/upload/iblock/66b/1kfb3c12pouxcr3srt7vjtb9z4zu6i0q/Fertika_brown_leaf_power0050.png;
FERTIKA;Листовое 4-13-36;FERTIKA/FERTIKA — Листовое 4-13-36 — упаковка.jpg;2000×2000;https://fertika.com/product/selskoe-khozyaystvo/fertika-listovoe-4-13-36/;https://fertika.com/upload/iblock/a3f/barw3wiciljihh2yxqkcfbi29eh39rzn/Fertika_gray_leaf_power0000.png;
FERTIKA;Листовое 19-6-20;FERTIKA/FERTIKA — Листовое 19-6-20 — упаковка.jpg;2000×2000;https://fertika.com/product/selskoe-khozyaystvo/fertika-listovoe-19-6-20/;https://fertika.com/upload/iblock/56b/fjefne4mi8d46iro8q32565ibuvajjm5/Fertika_Aqua_leaf_power0000.png;
FERTIKA;Плюс 6,4-11-31;FERTIKA/FERTIKA — Плюс 6,4-11-31 — упаковка.jpg;2000×2000;https://fertika.com/product/selskoe-khozyaystvo/fertika-plyus-6-4-11-31/;https://fertika.com/upload/iblock/1bc/u5y25t0v4yge9ygmq8ege3pwaqy6niko/Fertika_blue_leaf_power0050.png;
FERTIKA;Плюс 12-11-26;FERTIKA/FERTIKA — Плюс 12-11-26 — упаковка.jpg;2000×2000;https://fertika.com/product/selskoe-khozyaystvo/fertika-plyus-12-11-26/;https://fertika.com/upload/iblock/dd9/xoga4uo2vvg2dt7sjri87o1uzf0cqug2/Fertika_pink_leaf_power0050.png;
FERTIKA;Плюс 16-20-27;FERTIKA/FERTIKA — Плюс 16-20-27 — упаковка.jpg;2000×2000;https://fertika.com/product/selskoe-khozyaystvo/fertika-plyus-16-20-27/;https://fertika.com/upload/iblock/52e/jhxss4mz6hf1l4889otphm7148gey3zz/Fertika_orange_2_leaf_power0000.png;
FERTIKA;Универсал-2 NPK 12-8-14;FERTIKA/FERTIKA — Универсал-2 NPK 12-8-14 — упаковка.jpg;1493×2000;https://fertika.com/product/selskoe-khozyaystvo/prod-62/;https://fertika.com/upload/iblock/ffb/hx2z4yxsxl733lx91tq137eshxmt5594/free_gen_1773834462273.png;
FERTIKA;Осеннее NPK 5-21-31;FERTIKA/FERTIKA — Осеннее NPK 5-21-31 — упаковка.jpg;1162×2000;https://fertika.com/product/selskoe-khozyaystvo/kukuruza/prod-64/;https://fertika.com/upload/iblock/5e5/wi51giubrlgb6bdg9sjjc8ppxgqpw9vf/NPK_image-paket-white-5.jpg;
