Название;Бренд;Категория;Описание;Цена_предоплата;Цена_рассрочка;Фасовка;Фото_есть;Файл_фото;Цена_итог;Для_B2B
FERTIKA Листовое Старт 13-40-13;Фертика;Удобрения;Водорастворимое фосфорное NPK-удобрение для стартовых стадий роста и развития корней.;227;;25 кг;Есть;FERTIKA/FERTIKA — Листовое Старт 13-40-13 — упаковка.jpg;от 227 ₽;да
FERTIKA Листовое 18-18-18;Фертика;Удобрения;Универсальное водорастворимое NPK-удобрение для сбалансированного питания в течение вегетации.;202;;25 кг;Есть;FERTIKA/FERTIKA — Листовое 18-18-18 — упаковка.jpg;от 202 ₽;да
FERTIKA Листовое 10-5-40;Фертика;Удобрения;Высококалийное водорастворимое удобрение для формирования и качества урожая.;222;;25 кг;Есть;FERTIKA/FERTIKA — Листовое 10-5-40 — упаковка.jpg;от 222 ₽;да
FERTIKA Листовое 4-13-36;Фертика;Удобрения;Водорастворимое удобрение для цветения, плодоношения и налива урожая.;232;;25 кг;Есть;FERTIKA/FERTIKA — Листовое 4-13-36 — упаковка.jpg;от 232 ₽;да
FERTIKA Плюс 6,4-11-31;Фертика;Удобрения;Бесхлорное водорастворимое NPK-удобрение с магнием, серой и микроэлементами.;225;;25 кг;Есть;FERTIKA/FERTIKA — Плюс 6,4-11-31 — упаковка.jpg;от 225 ₽;да
FERTIKA Листовое 19-6-20;Фертика;Удобрения;Азотсодержащее водорастворимое удобрение для активного роста растений.;196;;25 кг;Есть;FERTIKA/FERTIKA — Листовое 19-6-20 — упаковка.jpg;от 196 ₽;да
FERTIKA Плюс 12-11-26;Фертика;Удобрения;Комплексное водорастворимое NPK-удобрение с повышенным содержанием калия.;207;;25 кг;Есть;FERTIKA/FERTIKA — Плюс 12-11-26 — упаковка.jpg;от 207 ₽;да
FERTIKA Плюс 16-20-27;Фертика;Удобрения;Концентрированное водорастворимое NPK-удобрение для интенсивного питания.;203;;25 кг;Есть;FERTIKA/FERTIKA — Плюс 16-20-27 — упаковка.jpg;от 203 ₽;да
FERTIKA Универсал-2 NPK 12-8-14;Фертика;Удобрения;Гранулированное бесхлорное удобрение для овощных и плодово-ягодных культур.;112;;;Есть;FERTIKA/FERTIKA — Универсал-2 NPK 12-8-14 — упаковка.jpg;от 112 ₽;да
FERTIKA Газонное Весна-Лето NPK 11-12-26;Фертика;Удобрения;Гранулированное удобрение для густого газона и ярко-зелёной окраски травы.;96;;;Есть;FERTIKA/FERTIKA — Газонное Весна-Лето NPK 11-12-26 — упаковка.jpg;от 96 ₽;нет (дом/сад)
FERTIKA Осеннее NPK 5-21-31;Фертика;Удобрения;Осеннее фосфорно-калийное удобрение для подготовки растений к стрессам.;106;;;Есть;FERTIKA/FERTIKA — Осеннее NPK 5-21-31 — упаковка.jpg;от 106 ₽;да
FERTIKA Хвойное для вечнозелёных Весна-Лето NPK 10-7-14;Фертика;Удобрения;Пролонгированное удобрение для хвойных и кислолюбивых растений.;;;;Есть;FERTIKA/FERTIKA — Хвойное для вечнозелёных NPK 10-7-14 — упаковка.jpg;Цена по запросу;нет (дом/сад)
FERTIKA Картофельное-5 NPK 11-9-16;Фертика;Удобрения;Специализированное удобрение для клубнеобразования и повышения качества картофеля.;110;;;Есть;FERTIKA/FERTIKA — Картофельное-5 NPK 10,7-8,7-16 — упаковка.jpg;от 110 ₽;да
