Название;Бренд;Категория;Цена_итог;Фасовка_прайс;Описание;Состав_ДВ;Норма_расхода;Культуры_и_фазы;Фасовка_каталог;Физпоказатели;Источник;Сверить;Есть_техданные
FERTIKA Листовое Старт 13-40-13;Фертика;Удобрения;от 227 ₽;25 кг;Водорастворимое фосфорное NPK-удобрение для стартовых стадий роста и развития корней.;"N 12,9 · P2O5 40 · K2O 13,4 · MgO 0,1 · S 0,02 · B 0,015 · Cu 0,03 · Fe 0,08 · Mn 0,08 · Mo 0,003 · Zn 0,03 (%); микро — хелат ЭДТА";Некорневая подкормка 2–4 кг/га. Фертигация: теплицы 0,05–0,2% (0,5–2 кг/1000 л), открытый грунт 0,1–0,2% (1–2 кг/1000 л);Зерновые (начало кущения), кукуруза (3–5 листьев), подсолнечник (3–4 листа), рапс (3–4 листа), картофель 2–5 кг/га (клубнеобразование);25 кг;100% растворимость · ЕС 0,1% р-ра 1,0 мСм/см · рН 1% р-ра 5;Каталог АО «Фертика»;нормы;да
FERTIKA Листовое 18-18-18;Фертика;Удобрения;от 202 ₽;25 кг;Универсальное водорастворимое NPK-удобрение для сбалансированного питания в течение вегетации.;"N 18 · P2O5 18 · K2O 18 · MgO 1,4 · S 1,8 · B 0,03 · Cu 0,01 · Fe 0,15 · Mn 0,14 · Mo 0,003 · Zn 0,01 (%); микро — хелат ЭДТА";Некорневая подкормка 2–5 кг/га. Фертигация: теплицы 0,05–0,2%, открытый грунт 0,1–0,2%;Зерновые 2–4 (кущение, выход в трубку), кукуруза 2–3 (5–6 листьев), подсолнечник 2–4 (8–10 листьев), рапс 2–5 (6–8 листьев), картофель 2–4 (формирование клубней), бобовые 2–4 (перед цветением);25 кг;100% растворимость · ЕС 0,1% р-ра 0,9 мСм/см · рН 1% р-ра 5;Каталог АО «Фертика»;нормы;да
FERTIKA Листовое 10-5-40;Фертика;Удобрения;от 222 ₽;25 кг;Высококалийное водорастворимое удобрение для формирования и качества урожая.;N 10,1 · P2O5 5 · K2O 40 · MgO 0,5 · S 4,4 · B 0,03 · Cu 0,01 · Fe 0,15 · Mn 0,14 · Mo 0,003 · Zn 0,01 (%);Некорневая подкормка 2–5 кг/га. Фертигация: теплицы 0,05–0,2%, открытый грунт 0,1–0,2%;Масличные (бутонизация), зерновые (флаговый лист — колошение), картофель (рост клубней), виноград 2–5 (начало созревания ягод), овощи 3–5 (созревание);25 кг;100% растворимость · ЕС 0,1% р-ра 1,1 мСм/см · рН 1% р-ра 6;Каталог АО «Фертика»;нормы;да
FERTIKA Листовое 4-13-36;Фертика;Удобрения;от 232 ₽;25 кг;Водорастворимое удобрение для цветения, плодоношения и налива урожая.;N 4 · P2O5 13 · K2O 36 · MgO 1,6 · S 7,7 · B 0,02 · Cu 0,01 · Fe 0,1 · Mn 0,1 · Mo 0,002 · Zn 0,01 (%);Некорневая подкормка 2–5 кг/га. Фертигация: теплицы 0,05–0,2%, открытый грунт 0,1–0,2%;Масличные (бутонизация), зерновые (флаговый лист — колошение), сахарная свёкла (до смыкания рядков), картофель (рост клубней), бобовые (формирование бобов), овощи 3–5 (созревание);25 кг;100% растворимость · ЕС 0,1% р-ра 1,1 мСм/см · рН 1% р-ра 6;Каталог АО «Фертика»;нормы;да
FERTIKA Плюс 6,4-11-31;Фертика;Удобрения;от 225 ₽;25 кг;Бесхлорное водорастворимое NPK-удобрение с магнием, серой и микроэлементами.;N 6,4 · P2O5 11 · K2O 31 · MgO 2,6 · S 4,4 · B 0,02 · Cu 0,01 · Fe 0,1 · Mn 0,1 · Mo 0,002 · Zn 0,01 (%);Фертигация и гидропоника: теплицы 0,05–0,2%, открытый грунт 0,1–0,2%;Огурец, томат, цветы, ягоды — защищённый и открытый грунт, все типы полива;25 кг;100% растворимость · ЕС 0,1% р-ра 1,0 мСм/см · рН 1% р-ра 6;Каталог АО «Фертика»;;да
FERTIKA Листовое 19-6-20;Фертика;Удобрения;от 196 ₽;25 кг;Азотсодержащее водорастворимое удобрение для активного роста растений.;N 19 · P2O5 6 · K2O 20 · MgO 3 · S 7 · B 0,03 · Cu 0,01 · Fe 0,1 · Mn 0,1 · Mo 0,003 · Zn 0,01 (%);Некорневая подкормка 2–3 кг/га. Фертигация: теплицы 0,05–0,2%, открытый грунт 0,1–0,2%;"Цветочно-декоративные, ягодные, овощные, зелень; полевые — зерновые и рапс 2–3 (начало созревания)";25 кг;100% растворимость · ЕС 0,1% р-ра 0,9 мСм/см · рН 1% р-ра 5;Каталог АО «Фертика»;нормы;да
FERTIKA Плюс 12-11-26;Фертика;Удобрения;от 207 ₽;25 кг;Комплексное водорастворимое NPK-удобрение с повышенным содержанием калия.;N 12,3 · P2O5 11 · K2O 26 · MgO 2,5 · S 3,3 · B 0,02 · Cu 0,01 · Fe 0,1 · Mn 0,1 · Mo 0,002 · Zn 0,01 (%);Некорневая подкормка 2–3 кг/га. Фертигация: теплицы 0,05–0,2%, открытый грунт 0,1–0,2%;"Цветы, овощи, ягоды, зелень; зерновые и подсолнечник 2–3 (начало созревания)";25 кг;100% растворимость · ЕС 0,1% р-ра 1,0 мСм/см · рН 1% р-ра 5;Каталог АО «Фертика»;нормы;да
FERTIKA Плюс 16-20-27;Фертика;Удобрения;от 203 ₽;25 кг;Концентрированное водорастворимое NPK-удобрение для интенсивного питания.;N 16 · P2O5 20 · K2O 27 · B 0,02 · Cu 0,01 · Fe 0,1 · Mn 0,1 · Zn 0,01 (%);"Фертигация: теплицы 0,05–0,2%, открытый грунт 0,1–0,2%; корневые и некорневые подкормки";Цветы, ягоды, зелень — все субстраты, почвы и грунты, все типы полива;25 кг;100% растворимость;Каталог АО «Фертика»;;да
FERTIKA Универсал-2 NPK 12-8-14;Фертика;Удобрения;от 112 ₽;;Гранулированное бесхлорное удобрение для овощных и плодово-ягодных культур.;N 12 · P2O5 8 · K2O 14 · Ca 0,6 · MgO 2 · SO3 8 · B 0,09 · Cu 0,08 · Fe 0,16 · Mn 0,16 · Mo 0,08 · Zn 0,09 (%);"Картофель 600–800 кг/га; овощные 600–1000 кг/га; ягодные 200–400 кг/га; декоративные 600–800 кг/га";Картофель, овощные, ягодные, декоративные культуры;800 кг, 40 кг;Гранулы, не пылят;Каталог АО «Фертика»;;да
FERTIKA Газонное Весна-Лето NPK 11-12-26;Фертика;Удобрения;от 96 ₽;;Гранулированное удобрение для густого газона и ярко-зелёной окраски травы.;N 11 · P2O5 12 · K2O 26 · Ca 0,55 · MgO 0,4 · SO3 0,7 · B 0,09 · Cu 0,08 · Fe 0,16 · Mn 0,16 · Mo 0,008 · Zn 0,09 (%);"Закладка газона 10 кг/100 м²; весенняя подкормка 4–5 кг/100 м²; в вегетацию 5–7 кг/100 м²";Газон;800 кг, 40 кг;Гранулированное;Каталог АО «Фертика»;;да
FERTIKA Осеннее NPK 5-21-31;Фертика;Удобрения;от 106 ₽;;Осеннее фосфорно-калийное удобрение для подготовки растений к стрессам.;N 5 · P2O5 21 · K2O 31 · Ca 0,55 · MgO 0,5 · S 0,7 · B 0,09 · Cu 0,08 · Fe 0,16 · Mn 0,16 · Mo 0,008 · Zn 0,09 (%);"Сахарная свёкла 300–600 кг/га; подсолнечник 200–300; озимая пшеница 200–400; кукуруза на зерно 400–600 кг/га";Полевые культуры — основное внесение осенью;800 кг, 40 кг;Гранулы прочные, одного размера;Каталог АО «Фертика»;;да
FERTIKA Хвойное для вечнозелёных Весна-Лето NPK 10-7-14;Фертика;Удобрения;Цена по запросу;;Пролонгированное удобрение для хвойных и кислолюбивых растений.;N 9,9 · P2O5 7 · K2O 14 · MgO 6,9 · SO3 40,8 · B 0,05 · Cu 0,03 · Mn 0,1 · Zn 0,06 (%);"При посадке и подкормке 30–40 г на растение; поверхностно 60 г/м², 1–2 раза за вегетацию";Хвойные, рододендроны, азалии, гортензии, голубика, садовая черника;800 кг, 40 кг;Пролонгированное действие, понижает рН почвы, без хлора;Каталог АО «Фертика»;;да
FERTIKA Картофельное-5 NPK 11-9-16;Фертика;Удобрения;от 110 ₽;;Специализированное удобрение для клубнеобразования и повышения качества картофеля.;N 11 · P2O5 9 · K2O 16 · Ca 0,55 · MgO 1 · SO3 4 · B 0,09 · Cu 0,08 · Mn 0,16 (%);Картофель 600–800 кг/га;Картофель;800 кг, 40 кг;Без хлора;Каталог АО «Фертика»;;да
FERTIKA Эко Калий;Фертика;Удобрения;от 48 ₽;;Бесхлорное калийное удобрение растительного происхождения с серой и магнием.;K2O 37 · P2O5 4,1 · SO3 10 · MgO 7,1 · CaO 7,1 · Fe 0,1 · Mn 0,01 · Zn 0,02 · Cu 0,02 (%);"Яровые зерновые, кукуруза, рапс, подсолнечник, озимая пшеница 200–400 кг/га; картофель и корнеплоды 300–350; томат, огурец, плодово-ягодные 200–250 кг/га";Зерновые, кукуруза, рапс, подсолнечник, картофель, корнеплоды, плодово-ягодные;800 кг, 25 кг;Бесхлорное, растительного происхождения (лузга подсолнечника);Каталог АО «Фертика»;;да
FERTIKA Сульфат калия;Фертика;Удобрения;от 103 ₽;;Концентрированное бесхлорное калийное удобрение с серой.;K2O 50 · S 17 (%);"Томаты, огурцы, цветочные 15–20 г/м²; картофель, капуста, свёкла, морковь 25–30 г/м²; редис, лук, салат 5–10 г/м²; защищённый грунт 30–40 г/м²; плодовые деревья 150–200 г/растение";Плодовые, ягодные, овощные, чувствительные к хлору культуры;1000 кг, 35 кг;Бесхлорное;Каталог АО «Фертика»;;да
