Культура;Сорт;Репродукция;Цена_руб_за_тонну_с_НДС;Источник
Пшеница яровая;КВС Аквилон;РС 1;25000;Прайс «Культура семян» / ГЕЯ ООО, 21–27.09.2026
Пшеница яровая;КВС Буран;РС 1;25000;Прайс «Культура семян» / ГЕЯ ООО, 21–27.09.2026
Пшеница яровая;Гонец;ЭС;25000;Прайс «Культура семян» / ГЕЯ ООО, 21–27.09.2026
Пшеница яровая;Юнион;ЭС;25000;Прайс «Культура семян» / ГЕЯ ООО, 21–27.09.2026
Соя;Золотистая;ЭС;80000;Прайс «Культура семян» / ГЕЯ ООО, 21–27.09.2026
Соя;Сибириада;ЭС;90000;Прайс «Культура семян» / ГЕЯ ООО, 21–27.09.2026
Соя;Сибириада 20;ЭС;90000;Прайс «Культура семян» / ГЕЯ ООО, 21–27.09.2026
Соя;Сентябринка;ЭС;90000;Прайс «Культура семян» / ГЕЯ ООО, 21–27.09.2026
Соя;Топаз;ЭС;90000;Прайс «Культура семян» / ГЕЯ ООО, 21–27.09.2026
Соя;Черемшанка;ЭС;80000;Прайс «Культура семян» / ГЕЯ ООО, 21–27.09.2026
Гречиха;Даша;ЭС;55000;Прайс «Культура семян» / ГЕЯ ООО, 21–27.09.2026
Гречиха;Диана;ЭС;55000;Прайс «Культура семян» / ГЕЯ ООО, 21–27.09.2026
Ячмень яровой;Алтайский 22;ЭС;25000;Прайс «Культура семян» / ГЕЯ ООО, 21–27.09.2026
Ячмень яровой;КВС Джесси;РС 1;30000;Прайс «Культура семян» / ГЕЯ ООО, 21–27.09.2026
Ячмень яровой;КВС Хоббс;РС 1;30000;Прайс «Культура семян» / ГЕЯ ООО, 21–27.09.2026
Горох посевной;КВС Багу;РС 1;40000;Прайс «Культура семян» / ГЕЯ ООО, 21–27.09.2026
Горох посевной;Бонус 2;ЭС;35000;Прайс «Культура семян» / ГЕЯ ООО, 21–27.09.2026
